state,fips,cases,deaths
Alabama,373,68644652,1172574
Alaska,748,7199357,33699
Arizona,1680,106449638,2135254
Arkansas,1875,41888235,672863
California,2526,434855748,6515760
Colorado,3048,55462680,997263
Connecticut,3402,37419351,1686158
Delaware,3750,11394639,242464
District of Columbia,4169,6602354,220611
Florida,4620,276314852,4823726
Georgia,4992,132689257,2516900
Guam,24486,1547888,20698
Hawaii,5700,4181331,58096
Idaho,5968,23563003,247313
Illinois,7174,171688841,3906817
Indiana,6840,85712865,1798492
Iowa,7182,48714195,727369
Kansas,7580,38021235,511151
Kentucky,7980,48132388,618552
Louisiana,8294,66756763,1894389
Maine,8602,4676215,83085
Maryland,9144,57270443,1486056
Massachusetts,10350,79144516,3404644
Michigan,9776,90921827,3071358
Minnesota,10260,66735756,1028802
Mississippi,10500,42207802,1058122
Missouri,10991,71143622,1129337
Montana,11190,12508052,157622
Nebraska,12338,28392677,295616
Nevada,12192,40261770,667359
New Hampshire,12672,8001035,186659
New Jersey,12988,113785390,5551042
New Mexico,13125,23378477,482285
New York,13860,241488754,11806387
North Carolina,14171,107530126,1509486
North Dakota,14250,14422562,200720
Northern Mariana Islands,24702,26223,702
Ohio,14703,115995660,2140499
Oklahoma,15200,51376588,531282
Oregon,15867,19767540,288031
Pennsylvania,15960,115223576,3727385
Puerto Rico,26856,19829943,282138
Rhode Island,16940,16556227,440395
South Carolina,17100,65248262,1207736
South Dakota,17296,15834985,226907
Tennessee,17907,100488317,1324639
Texas,19344,350871915,6005644
Utah,19110,47475608,247690
Vermont,18950,1577226,30973
Virgin Islands,29016,410290,5431
Virginia,19329,73320115,1241793
Washington,22525,47170755,863487
West Virginia,19926,14234670,247293
Wisconsin,22550,84874176,924292
Wyoming,21000,6692878,68923
