Date,Holiday
"Wednesday, January 1, 2020",New Year’s Day
"Monday, January 20, 2020","Birthday of Martin Luther King, Jr."
"Monday, February 17, 2020",Washington’s Birthday
"Monday, May 25, 2020",Memorial Day
"Friday, July 3, 2020",Independence Day
"Monday, September 7, 2020",Labor Day
"Monday, October 12, 2020",Columbus Day
"Wednesday, November 11, 2020",Veterans Day
"Thursday, November 26, 2020",Thanksgiving Day
"Friday, December 25, 2020",Christmas Day
"Friday, January 1, 2021",New Year’s Day
"Monday, January 18, 2021","Birthday of Martin Luther King, Jr."
"Wednesday, January 20, 2021",Inauguration Day
"Monday, February 15, 2021",Washington’s Birthday
"Monday, May 31, 2021",Memorial Day
"Monday, July 5, 2021",Independence Day
"Monday, September 6, 2021",Labor Day
"Monday, October 11, 2021",Columbus Day
"Thursday, November 11, 2021",Veterans Day
"Thursday, November 25, 2021",Thanksgiving Day
"Friday, December 24, 2021",Christmas Day
