Date,Holiday
2020-01-01,New Year’s Day
2020-01-20,"Birthday of Martin Luther King, Jr."
2020-02-17,Washington’s Birthday
2020-05-25,Memorial Day
2020-07-03,Independence Day
2020-09-07,Labor Day
2020-10-12,Columbus Day
2020-11-11,Veterans Day
2020-11-26,Thanksgiving Day
2020-12-25,Christmas Day
2021-01-01,New Year’s Day
2021-01-18,"Birthday of Martin Luther King, Jr."
2021-01-20,Inauguration Day
2021-02-15,Washington’s Birthday
2021-05-31,Memorial Day
2021-07-05,Independence Day
2021-09-06,Labor Day
2021-10-11,Columbus Day
2021-11-11,Veterans Day
2021-11-25,Thanksgiving Day
2021-12-24,Christmas Day
